Scan REF	Ost1-1.CEL	Ost1-1.CEL	Ost1-1.CEL	Ost1-1.CEL	Ost1-1pr2.CEL	Ost1-1pr2.CEL	Ost1-1pr2.CEL	Ost1-1pr2.CEL	Ost12.CEL	Ost12.CEL	Ost12.CEL	Ost12.CEL	Ost16.CEL	Ost16.CEL	Ost16.CEL	Ost16.CEL	Ost17.CEL	Ost17.CEL	Ost17.CEL	Ost17.CEL	Ost19.CEL	Ost19.CEL	Ost19.CEL	Ost19.CEL	Ost2-1.CEL	Ost2-1.CEL	Ost2-1.CEL	Ost2-1.CEL	Ost2-2.CEL	Ost2-2.CEL	Ost2-2.CEL	Ost2-2.CEL	Ost21.CEL	Ost21.CEL	Ost21.CEL	Ost21.CEL	Ost23.CEL	Ost23.CEL	Ost23.CEL	Ost23.CEL	Ost26.CEL	Ost26.CEL	Ost26.CEL	Ost26.CEL	Ost27.CEL	Ost27.CEL	Ost27.CEL	Ost27.CEL	Ost29.CEL	Ost29.CEL	Ost29.CEL	Ost29.CEL	Ost31.CEL	Ost31.CEL	Ost31.CEL	Ost31.CEL	Ost33.CEL	Ost33.CEL	Ost33.CEL	Ost33.CEL	Ost34.CEL	Ost34.CEL	Ost34.CEL	Ost34.CEL	Ost35.CEL	Ost35.CEL	Ost35.CEL	Ost35.CEL	Ost36.CEL	Ost36.CEL	Ost36.CEL	Ost36.CEL	Ost37.CEL	Ost37.CEL	Ost37.CEL	Ost37.CEL	Ost38.CEL	Ost38.CEL	Ost38.CEL	Ost38.CEL	Ost39.CEL	Ost39.CEL	Ost39.CEL	Ost39.CEL	Ost3L41.CEL	Ost3L41.CEL	Ost3L41.CEL	Ost3L41.CEL	Ost3L43.CEL	Ost3L43.CEL	Ost3L43.CEL	Ost3L43.CEL	Ost40.CEL	Ost40.CEL	Ost40.CEL	Ost40.CEL
206772_at	5.6491117	P	0.00415039	11	5.132946	P	0.00292969	11	4.50674	P	0.0141602	11	5.1815968	P	0.00805664	11	5.4500966	P	0.000244141	11	5.7441516	P	0.000244141	11	4.7122793	P	0.000732422	11	5.829959	P	0.00292969	11	4.667535	P	0.008056641	11	5.4274845	P	0.0012207	11	5.5561824	P	0.000732422	11	5.34381	P	0.000732422	11	5.356069	P	0.000244141	11	4.444721	P	0.0141602	11	5.5775414	P	0.000732422	11	5.3705196	P	0.000244141	11	3.6426134	M	0.0561523	11	4.0564404	P	0.00415039	11	5.2260756	P	0.0012207	11	5.712686	P	0.000732422	11	2.3348699	A	0.219482	11	4.32258	P	0.0461426	11	5.4545074	P	0.0012207	11	4.412399	P	0.0302734	11
206956_at	9.380574	P	0.000244141	11	8.258025	P	0.000244141	11	12.366797	P	0.000244141	11	10.906939	P	0.000244141	11	9.163284	P	0.000244141	11	8.787236	P	0.000244141	11	11.610939	P	0.000244141	11	11.007493	P	0.000244141	11	10.973266	P	0.000244141	11	10.031547	P	0.000244141	11	10.579672	P	0.000244141	11	9.517703	P	0.000244141	11	10.9926	P	0.000244141	11	11.321721	P	0.000244141	11	8.680011	P	0.000244141	11	10.405695	P	0.000244141	11	10.177326	P	0.000244141	11	12.265711	P	0.000244141	11	8.96919	P	0.000244141	11	8.554004	P	0.000244141	11	10.535836	P	0.000244141	11	10.405848	P	0.000244141	11	11.230943	P	0.000244141	11	11.302653	P	0.000244141	11
207173_x_at	8.051425	P	0.000244141	11	7.3395824	P	0.000244141	11	10.958798	P	0.000244141	11	8.603811	P	0.000244141	11	8.818118	P	0.000244141	11	8.303008	P	0.000244141	11	9.245154	P	0.000244141	11	8.334542	P	0.000244141	11	10.199788	P	0.000244141	11	9.036415	P	0.000244141	11	9.053223	P	0.000244141	11	8.496413	P	0.000244141	11	9.8461895	P	0.000244141	11	10.572421	P	0.000244141	11	8.920678	P	0.000244141	11	8.985868	P	0.000244141	11	8.503552	P	0.000244141	11	10.692584	P	0.000244141	11	7.885942	P	0.000244141	11	7.711245	P	0.000244141	11	9.666264	P	0.000244141	11	8.857166	P	0.000244141	11	9.045764	P	0.000244141	11	10.172556	P	0.000244141	11
207370_at	6.946501	P	0.00292969	11	6.000079	P	0.00195313	11	9.464363	P	0.000244141	11	8.321142	P	0.000244141	11	6.972879	P	0.000244141	11	6.093217	P	0.0141602	11	9.035256	P	0.000244141	11	7.9426217	P	0.000244141	11	7.730041	P	0.000244141	11	8.85393	P	0.000244141	11	7.6457796	P	0.000244141	11	6.5583506	P	0.0141602	11	8.427519	P	0.000244141	11	10.806075	P	0.000244141	11	6.054373	P	0.0141602	11	8.696382	P	0.000244141	11	8.962796	P	0.000244141	11	10.864977	P	0.000244141	11	7.1745734	P	0.00195313	11	6.6695476	P	0.00292969	11	10.0491905	P	0.000244141	11	8.194629	P	0.000244141	11	7.8181343	P	0.000244141	11	10.320181	P	0.000244141	11
207886_s_at	3.0870054	A	0.334473	11	3.8339436	A	0.334473	11	4.1162033	A	0.398926	11	4.0739655	A	0.27417	11	0.92006344	A	0.696289	11	0.74285746	A	0.80542	11	0.8723222	A	0.828613	11	-0.13068095	A	0.904785	11	2.2651122	A	0.432373	11	2.4468012	A	0.366211	11	3.3614762	A	0.334473	11	2.4412954	A	0.696289	11	3.153543	A	0.27417	11	3.5741572	A	0.129639	11	3.1426988	A	0.398926	11	-0.4695776	A	0.932373	11	3.5858026	A	0.303711	11	3.770096	A	0.129639	11	1.6458329	A	0.567627	11	0.49545836	A	0.953857	11	3.0130084	A	0.432373	11	1.7546685	A	0.932373	11	3.9494333	A	0.246094	11	4.1229377	P	0.00585938	11
207887_s_at	4.4689226	A	0.19458	11	3.4742966	A	0.366211	11	4.7621713	M	0.0561523	11	3.8273094	A	0.366211	11	5.0059423	A	0.219482	11	2.2429967	A	0.633789	11	2.6436002	A	0.432373	11	4.222049	A	0.303711	11	2.4973123	A	0.567627	11	2.3610878	A	0.398926	11	1.439666	A	0.601074	11	0.97148836	A	0.780518	11	4.631444	A	0.219482	11	4.8806257	M	0.0561523	11	4.9811993	A	0.19458	11	2.0477364	A	0.633789	11	0.41196543	A	0.80542	11	1.5023994	A	0.753906	11	4.5038443	A	0.219482	11	1.813836	A	0.828613	11	4.6933904	P	0.0375977	11	4.0415173	A	0.366211	11	4.0319033	A	0.303711	11	4.904178	A	0.0952148	11
208175_s_at	0.7220934	A	0.870361	11	3.1165364	A	0.398926	11	8.125309	P	0.0012207	11	6.003505	P	0.00195313	11	6.4655957	P	0.00292969	11	4.0944657	M	0.053710938	11	6.002563	P	0.00585938	11	3.5954494	A	0.19458	11	7.4818554	P	0.000244141	11	6.4597096	P	0.0012207	11	4.8194532	P	0.0185547	11	3.640757	A	0.129639	11	7.720001	P	0.000244141	11	8.272742	P	0.000732422	11	6.3068604	P	0.00195313	11	6.219873	P	0.00585938	11	5.989769	P	0.00292969	11	8.277171	P	0.000732422	11	2.9658632	A	0.149658	11	2.7458522	A	0.665527	11	6.583198	P	0.000244141	11	6.5878854	P	0.00585938	11	7.019093	P	0.00415039	11	7.81186	P	0.00195313	11
208233_at	-0.82269365	A	0.6887207	11	-0.31451997	A	0.80542	11	2.8555446	A	0.633789	11	1.9774905	A	0.567627	11	2.7733595	A	0.334473	11	4.0145893	A	0.19458	11	0.82948256	A	0.753906	11	3.4571695	A	0.0805664	11	3.3378901	A	0.171387	11	3.2275474	A	0.219482	11	1.0404294	A	0.72583	11	1.7912292	A	0.533936	11	3.906997	A	0.0805664	11	3.1025593	A	0.149658	11	3.9063108	P	0.0185547	11	-1.1887583	A	0.633789	11	2.759195	A	0.149658	11	0.9933737	A	0.633789	11	0.15883309	A	0.72583	11	1.1178625	A	0.72583	11	2.8842127	A	0.303711	11	3.273822	A	0.303711	11	4.0064926	A	0.0952148	11	-0.7191652	A	0.919434	11
209875_s_at	9.646064	P	0.000244141	11	8.290293	P	0.000244141	11	11.341944	P	0.000244141	11	10.676813	P	0.000244141	11	9.80974	P	0.000244141	11	9.50257	P	0.000732422	11	11.212922	P	0.000244141	11	10.550455	P	0.000244141	11	10.903245	P	0.000244141	11	10.020743	P	0.000244141	11	10.476715	P	0.000244141	11	9.237528	P	0.000732422	11	11.578262	P	0.000244141	11	12.426982	P	0.000244141	11	9.065194	P	0.000244141	11	11.297782	P	0.000244141	11	11.059718	P	0.000244141	11	12.630653	P	0.000244141	11	9.872946	P	0.000244141	11	9.576971	P	0.000244141	11	11.990857	P	0.000244141	11	10.376397	P	0.000244141	11	10.772471	P	0.000244141	11	12.571066	P	0.000244141	11
212667_at	7.987773	P	0.000244141	11	7.1079254	P	0.000244141	11	10.434902	P	0.000244141	11	9.46615	P	0.000244141	11	10.140163	P	0.000244141	11	7.2853527	P	0.000244141	11	9.790778	P	0.000244141	11	9.361699	P	0.000244141	11	10.495996	P	0.000244141	11	9.382512	P	0.000244141	11	9.781215	P	0.000244141	11	9.016474	P	0.000244141	11	10.109225	P	0.000244141	11	11.559646	P	0.000244141	11	9.653142	P	0.000244141	11	9.445627	P	0.000244141	11	8.837125	P	0.000244141	11	11.830979	P	0.000244141	11	7.4983196	P	0.000244141	11	7.3646092	P	0.000244141	11	10.930885	P	0.000244141	11	8.704598	P	0.000244141	11	9.70038	P	0.000244141	11	11.37392	P	0.000244141	11
221150_at	5.610555	A	0.246094	11	4.259507	A	0.219482	11	9.540869	P	0.000732422	11	7.1740146	P	0.00805664	11	6.7653456	P	0.0141602	11	5.281498	A	0.246094	11	8.084639	P	0.000244141	11	6.795729	P	0.0141602	11	10.605642	P	0.000244141	11	9.391468	P	0.000244141	11	6.7730165	P	0.0107422	11	6.647236	P	0.0239258	11	9.685349	P	0.000244141	11	9.765873	P	0.000244141	11	8.543157	P	0.000244141	11	8.371602	P	0.000244141	11	7.704551	P	0.000732422	11	10.186126	P	0.000244141	11	5.9937596	A	0.111572	11	5.302686	A	0.219482	11	9.624447	P	0.000244141	11	7.700174	P	0.00195313	11	8.40263	P	0.00195313	11	9.633395	P	0.000244141	11
221166_at	1.7714927	A	0.49169922	11	-0.34788668	A	0.633789	11	5.6356564	A	0.0805664	11	4.519741	A	0.067627	11	3.26399	A	0.219482	11	4.152755	A	0.27417	11	3.9620843	A	0.149658	11	3.0681565	A	0.366211	11	4.072993	P	0.00805664	11	1.8986893	A	0.466064	11	4.056394	P	0.0185547	11	3.7837098	A	0.171387	11	4.8253455	P	0.0461426	11	3.8503425	A	0.27417	11	1.5158018	A	0.780518	11	4.3155494	A	0.149658	11	1.2798377	A	0.466064	11	3.2761931	A	0.0805664	11	1.5382637	A	0.533936	11	0.8294047	A	0.5	11	4.172513	A	0.0805664	11	4.0307384	A	0.5	11	0.58422023	A	0.466064	11	2.5475461	A	0.533936	11
221283_at	3.3945355	A	0.303711	11	1.7746482	A	0.696289	11	4.203142	A	0.27417	11	3.1634395	A	0.27417	11	3.2054818	A	0.432373	11	0.82579273	A	0.72583	11	2.6465704	A	0.366211	11	4.0765176	A	0.0805664	11	5.0494246	M	0.0561523	11	0.9977027	A	0.80542	11	4.157035	P	0.0141602	11	4.721094	P	0.0075683594	11	4.092653	P	0.0302734	11	4.2376857	A	0.0805664	11	3.8542254	A	0.303711	11	4.172575	A	0.067627	11	1.1680862	A	0.665527	11	3.648238	P	0.0185547	11	1.5461394	A	0.432373	11	2.6708128	A	0.303711	11	3.1897528	A	0.246094	11	2.456993	A	0.828613	11	3.4080257	A	0.27417	11	3.9436038	P	0.0302734	11
221898_at	3.8235922	A	0.366211	11	4.2182446	A	0.334473	11	7.558063	P	0.00195313	11	5.409091	A	0.0952148	11	3.7119195	A	0.334473	11	1.4234601	A	0.696289	11	5.080643	P	0.0185547	11	4.3274937	A	0.149658	11	4.2814894	A	0.0952148	11	3.455299	A	0.19458	11	5.372023	M	0.0561523	11	5.0582843	P	0.0375977	11	5.0185466	A	0.0805664	11	7.017341	P	0.000244141	11	3.910503	A	0.398926	11	5.185137	A	0.19458	11	4.5929303	M	0.0561523	11	6.729324	P	0.0012207	11	2.1847022	A	0.665527	11	1.237992	A	0.828613	11	6.285453	P	0.00292969	11	4.6495776	A	0.19458	11	4.000552	A	0.219482	11	5.9675517	P	0.00195313	11
223869_at	5.0122914	P	0.0375977	11	5.455718	P	0.000244141	11	12.750407	P	0.000244141	11	9.034612	P	0.000244141	11	8.539697	P	0.000244141	11	4.550148	P	0.00292969	11	10.810859	P	0.000244141	11	9.1014385	P	0.000244141	11	12.329516	P	0.000244141	11	11.274904	P	0.000244141	11	8.988242	P	0.000244141	11	8.470584	P	0.000244141	11	11.78467	P	0.000244141	11	11.326618	P	0.000244141	11	11.301178	P	0.000244141	11	11.053468	P	0.000244141	11	9.052808	P	0.000244141	11	12.016451	P	0.000244141	11	6.1051135	P	0.00805664	11	5.289171	P	0.0107422	11	11.057885	P	0.000244141	11	10.434073	P	0.000244141	11	11.654444	P	0.000244141	11	11.041349	P	0.000244141	11
226658_at	2.702641	A	0.601074	11	0.3243987	A	0.633789	11	6.224278	P	0.0302734	11	3.7855093	A	0.466064	11	4.9910965	A	0.432373	11	0.4301854	A	0.72583	11	1.276217	A	0.466064	11	1.0451578	A	0.633789	11	1.6741346	A	0.696289	11	4.3553376	A	0.19458	11	3.7959337	A	0.334473	11	2.5993862	A	0.27417	11	1.6420828	A	0.753906	11	5.7051115	P	0.00415039	11	2.8854756	A	0.567627	11	1.4348551	A	0.696289	11	4.10354	A	0.219482	11	5.2946825	P	0.0302734	11	2.7756894	A	0.633789	11	5.0738826	A	0.0952148	11	4.8548265	M	0.0561523	11	5.249307	A	0.111572	11	4.597308	A	0.0952148	11	5.1408525	P	0.0461426	11
236028_at	8.58306	P	0.000244141	11	7.3985143	P	0.000244141	11	12.792129	P	0.000244141	11	10.802651	P	0.000244141	11	10.002474	P	0.000244141	11	7.2327666	P	0.000244141	11	12.004645	P	0.000244141	11	10.546494	P	0.000244141	11	9.888453	P	0.000244141	11	11.164909	P	0.000244141	11	9.651325	P	0.000244141	11	8.275235	P	0.000244141	11	11.103641	P	0.000244141	11	12.798371	P	0.000244141	11	7.6038647	P	0.000244141	11	10.747054	P	0.000244141	11	10.727034	P	0.000244141	11	12.712725	P	0.000244141	11	8.530581	P	0.000732422	11	8.103164	P	0.000244141	11	11.846503	P	0.000244141	11	10.537036	P	0.000244141	11	10.698609	P	0.000244141	11	12.186458	P	0.000244141	11
236858_s_at	3.5017142	A	0.665527	11	4.877112	A	0.366211	11	6.8418407	P	0.00805664	11	5.7367997	A	0.0805664	11	5.334109	A	0.171387	11	5.563879	A	0.0952148	11	5.6924176	P	0.0239258	11	4.4894657	A	0.246094	11	6.448869	P	0.0141602	11	5.6100645	P	0.0239258	11	5.2961054	A	0.0952148	11	4.1783624	A	0.219482	11	6.3465858	M	0.0561523	11	6.6182356	P	0.0141602	11	6.0118284	A	0.067627	11	5.58759	A	0.171387	11	5.006005	A	0.19458	11	7.385064	P	0.000732422	11	4.940869	A	0.149658	11	4.5243616	A	0.19458	11	5.916052	P	0.0141602	11	5.1517735	A	0.303711	11	6.2371593	A	0.111572	11	6.75731	P	0.00805664	11
236859_at	3.5582862	A	0.0952148	11	3.7363813	A	0.27417	11	5.527228	P	0.0461426	11	3.7430222	A	0.398926	11	4.9081545	A	0.303711	11	1.3493854	A	0.665527	11	5.470744	A	0.0805664	11	4.875624	A	0.0805664	11	6.345937	P	0.0012207	11	5.201159	P	0.0302734	11	4.757949	A	0.171387	11	0.8396686	A	0.753906	11	5.9474416	P	0.00805664	11	6.2630076	P	0.000732422	11	4.9396815	A	0.111572	11	4.486835	A	0.149658	11	5.099555	P	0.0239258	11	7.2953725	P	0.000244141	11	3.7536652	A	0.334473	11	3.555723	A	0.398926	11	6.0888276	P	0.0012207	11	3.16961	A	0.5	11	5.7617993	A	0.129639	11	6.468863	P	0.000244141	11
239769_at	3.9257727	A	0.398926	11	1.3324236	A	0.72583	11	5.576518	P	0.0239258	11	5.419665	P	0.0185547	11	4.6433973	A	0.27417	11	0.9932259	A	0.962402	11	4.330043	A	0.0952148	11	4.73935	A	0.149658	11	5.4768457	P	0.00585938	11	4.7361717	A	0.129639	11	4.2135253	M	0.0561523	11	1.20942	A	0.919434	11	4.620086	A	0.0805664	11	5.6102185	P	0.0012207	11	4.5247946	A	0.27417	11	2.1825721	A	0.533936	11	4.206713	A	0.246094	11	5.0774584	P	0.000244141	11	4.31629	A	0.219482	11	4.6825314	A	0.111572	11	5.4213653	P	0.00585938	11	4.7030435	A	0.0805664	11	5.5043235	A	0.067627	11	5.8318067	P	0.00805664	11
1554503_a_at	6.344969	P	0.00415039	11	6.184397	P	0.0107422	11	6.6827035	P	0.00195313	11	6.098815	P	0.00585938	11	5.828	P	0.00292969	11	6.666111	P	0.0012207	11	5.4182415	P	0.0107422	11	5.929624	P	0.0107422	11	5.37819	P	0.0107422	11	6.495747	P	0.0012207	11	6.7259145	P	0.00195313	11	6.95742	P	0.000732422	11	6.5715795	P	0.00195313	11	5.609168	P	0.00805664	11	6.41567	P	0.0012207	11	6.1633105	P	0.000732422	11	5.846554	P	0.000244141	11	5.6595793	P	0.00195313	11	6.5206466	P	0.0012207	11	6.6725373	P	0.00195313	11	5.125297	P	0.00292969	11	7.341441	P	0.00195313	11	6.7353973	P	0.00195313	11	5.378307	P	0.0239258	11
1556499_s_at	12.181031	P	0.000244141	11	11.17683	P	0.000244141	11	12.991178	P	0.000244141	11	12.88446	P	0.000244141	11	12.900526	P	0.000244141	11	11.4133005	P	0.000244141	11	12.81486	P	0.000244141	11	12.62541	P	0.000244141	11	12.588733	P	0.000244141	11	12.031614	P	0.000244141	11	12.652731	P	0.000244141	11	12.21777	P	0.000244141	11	13.04534	P	0.000244141	11	13.07982	P	0.000244141	11	12.08515	P	0.000244141	11	12.718598	P	0.000244141	11	12.06617	P	0.000244141	11	13.215411	P	0.000244141	11	11.597325	P	0.000244141	11	11.396896	P	0.000244141	11	12.715842	P	0.000244141	11	12.407068	P	0.000244141	11	12.972313	P	0.000244141	11	13.011706	P	0.000244141	11
